Date,Price,Vol.,LOG Return,Return
03/10/2018,38230,1.55M,-0.005217857,-0.005204267
02/10/2018,38430,247.24K,0.02050545,0.020717131
27/09/2018,37650,285.75K,0.00372539,0.003732338
26/09/2018,37510,246.62K,-0.00186443,-0.001862693
25/09/2018,37580,150.61K,-0.000532056,-0.000531915
20/09/2018,37600,244.55K,0.002396486,0.00239936
17/09/2018,37510,165.58K,0.005614237,0.005630027
16/09/2018,37300,82.55K,-0.000803966,-0.000803643
13/09/2018,37330,345.08K,0.018383865,0.018553888
12/09/2018,36650,235.81K,0.001365188,0.00136612
06/09/2018,36600,3.24M,-0.002455998,-0.002452984
05/09/2018,36690,633.91K,-0.002721831,-0.00271813
04/09/2018,36790,257.28K,0.002994422,0.002998909
03/09/2018,36680,352.98K,-0.00081755,-0.000817216
02/09/2018,36710,131.69K,-0.002448648,-0.002445652
30/08/2018,36800,441.79K,-0.006500565,-0.006479482
29/08/2018,37040,377.77K,0,0
28/08/2018,37040,519.68K,-0.002696146,-0.002692515
27/08/2018,37140,596.27K,0.014646316,0.014754098
26/08/2018,36600,186.15K,-0.017603704,-0.017449664
23/08/2018,37250,341.76K,-0.006155513,-0.006136606
22/08/2018,37480,61.65K,0,0
21/08/2018,37480,48.80K,0,0
20/08/2018,37480,79.98K,0.004814131,0.004825737
19/08/2018,37300,15.53K,-0.007212533,-0.007186585
16/08/2018,37570,71.70K,-0.002658162,-0.002654632
15/08/2018,37670,76.56K,-0.000530786,-0.000530645
14/08/2018,37690,62.11K,0.001858983,0.001860712
13/08/2018,37620,99.89K,0.006935211,0.006959315
12/08/2018,37360,9.91K,-0.004006951,-0.003998934
09/08/2018,37510,117.27K,-0.010871113,-0.010812236
08/08/2018,37920,187.31K,0.008474627,0.008510638
07/08/2018,37600,52.42K,-0.002390757,-0.002387901
06/08/2018,37690,67.71K,-0.004500339,-0.004490227
05/08/2018,37860,34.89K,0.018931375,0.019111709
02/08/2018,37150,221.22K,-0.00536914,-0.005354752
01/08/2018,37350,91.79K,0.007524894,0.007553278
31/07/2018,37070,75.95K,0.001890105,0.001891892
30/07/2018,37000,51.65K,0.007051833,0.007076756
29/07/2018,36740,25.68K,0.002452651,0.002455662
26/07/2018,36650,147.32K,0.003279588,0.003284971
25/07/2018,36530,203.05K,0.001643836,0.001645188
24/07/2018,36470,68.83K,0.000548546,0.000548697
23/07/2018,36450,37.43K,-0.000822707,-0.000822368
19/07/2018,36480,104.54K,-0.000548095,-0.000547945
18/07/2018,36500,186.68K,0.005770039,0.005786718
