"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"03.10.2018","38,230","38,310","38,450","38,220","1.55M","-0.52%"
"02.10.2018","38,430","38,020","38,550","38,020","247.24K","2.07%"
"27.09.2018","37,650","37,610","37,720","37,530","285.75K","0.37%"
"26.09.2018","37,510","37,480","37,520","37,420","246.62K","-0.19%"
"25.09.2018","37,580","37,510","37,620","37,490","150.61K","-0.05%"
"20.09.2018","37,600","37,450","37,650","37,390","244.55K","0.24%"
"17.09.2018","37,510","37,110","37,540","37,110","165.58K","0.56%"
"16.09.2018","37,300","37,630","37,630","37,150","82.55K","-0.08%"
"13.09.2018","37,330","36,800","37,350","36,790","345.08K","1.86%"
"12.09.2018","36,650","36,600","36,780","36,400","235.81K","0.14%"
"06.09.2018","36,600","36,310","36,700","36,310","3.24M","-0.25%"
"05.09.2018","36,690","36,550","36,900","36,500","633.91K","-0.27%"
"04.09.2018","36,790","36,770","36,950","36,590","257.28K","0.30%"
"03.09.2018","36,680","36,620","36,820","36,530","352.98K","-0.08%"
"02.09.2018","36,710","36,600","36,800","36,490","131.69K","-0.24%"
"30.08.2018","36,800","37,040","37,040","36,650","441.79K","-0.65%"
"29.08.2018","37,040","37,040","37,100","36,770","377.77K","0.00%"
"28.08.2018","37,040","36,800","37,060","36,800","519.68K","-0.27%"
"27.08.2018","37,140","36,710","37,270","36,600","596.27K","1.48%"
"26.08.2018","36,600","37,000","37,100","36,330","186.15K","-1.74%"
"23.08.2018","37,250","36,910","37,250","36,810","341.76K","-0.61%"
"22.08.2018","37,480","37,330","37,650","37,230","61.65K","0.00%"
"21.08.2018","37,480","37,370","37,570","37,320","48.80K","0.00%"
"20.08.2018","37,480","37,410","37,570","37,370","79.98K","0.48%"
"19.08.2018","37,300","37,390","37,530","37,220","15.53K","-0.72%"
"16.08.2018","37,570","37,200","37,900","37,200","71.70K","-0.27%"
"15.08.2018","37,670","37,690","37,690","37,310","76.56K","-0.05%"
"14.08.2018","37,690","37,600","37,740","37,460","62.11K","0.19%"
"13.08.2018","37,620","37,400","37,720","37,400","99.89K","0.70%"
"12.08.2018","37,360","37,400","37,420","37,280","9.91K","-0.40%"
"09.08.2018","37,510","37,890","37,900","37,200","117.27K","-1.08%"
"08.08.2018","37,920","37,600","37,920","37,290","187.31K","0.85%"
"07.08.2018","37,600","37,800","37,850","37,410","52.42K","-0.24%"
"06.08.2018","37,690","37,720","37,800","37,400","67.71K","-0.45%"
"05.08.2018","37,860","37,550","37,890","37,460","34.89K","1.91%"
"02.08.2018","37,150","37,070","37,500","37,030","221.22K","-0.54%"
"01.08.2018","37,350","37,200","37,350","37,100","91.79K","0.76%"
"31.07.2018","37,070","37,140","37,150","36,780","75.95K","0.19%"
"30.07.2018","37,000","36,650","37,000","36,650","51.65K","0.71%"
"29.07.2018","36,740","36,680","36,890","36,650","25.68K","0.25%"
"26.07.2018","36,650","36,990","36,990","36,390","147.32K","0.33%"
"25.07.2018","36,530","36,470","36,560","36,380","203.05K","0.16%"
"24.07.2018","36,470","36,360","36,510","36,350","68.83K","0.05%"
"23.07.2018","36,450","36,430","36,500","36,240","37.43K","-0.08%"
"19.07.2018","36,480","36,350","36,530","36,310","104.54K","-0.05%"
"18.07.2018","36,500","36,290","36,600","36,290","186.68K","0.58%"
"17.07.2018","36,290","36,010","36,430","35,980","194.77K","0.78%"
