Date,Price,Vol.,LOG Return,Return
2018-12-31,134.27,619.70K,0.01530986751588535,0.015427663918929246
2018-12-28,132.23,562.14K,-0.0014358589279685387,-0.0014348285757438406
2018-12-27,132.42,823.66K,0.01621595428185983,0.016348146442551226
2018-12-26,130.29,849.95K,0.04184907793387872,0.042737094837935086
2018-12-24,124.95,498.78K,-0.025755887283647978,-0.02542703377271671
2018-12-21,128.21,1.98M,-0.0008575995535949492,-0.000857231920199375
2018-12-20,128.32,1.35M,-0.02341450158591386,-0.023142509135201106
2018-12-19,131.36,1.01M,-0.008263570013960404,-0.008229520573801219
2018-12-18,132.45,1.29M,0.002948850951653393,0.0029532030895047523
2018-12-17,132.06,1.45M,-0.025715275553330325,-0.02538745387453878
2018-12-14,135.5,845.64K,-0.00022137770816902717,-0.00022135320593230645
2018-12-13,135.53,960.61K,-0.008815160293065664,-0.00877642068309803
2018-12-12,136.73,618.97K,-0.0075774497355175375,-0.007548813239457219
2018-12-11,137.77,916.10K,0.0005082223218987052,0.0005083514887438412
2018-12-10,137.7,984.33K,0.005096479906484119,0.005109489051094762
2018-12-07,137.0,855.14K,-0.01276489627342402,-0.012683770539060224
2018-12-06,138.76,1.39M,0.0036821816991047932,0.003688969258589525
2018-12-04,138.25,1.35M,-0.02528344934702232,-0.024966499753156013
2018-12-03,141.79,1.14M,0.0011290665231615512,0.001129704158723488
2018-11-30,141.63,1.15M,0.00035309488026185465,0.00035315722559681184
2018-11-29,141.58,767.57K,0.00708820659828386,0.007113387395077497
2018-11-28,140.58,1.24M,0.003920036380073722,0.003927729772191801
2018-11-27,140.03,749.73K,0.001286265719716921,0.0012870933142652419
2018-11-26,139.85,603.37K,0.0007868665236640738,0.0007871761843423197
2018-11-23,139.74,261.34K,0.0017906390201608482,0.0017922431715535758
2018-11-21,139.49,647.16K,0.009218646488208644,0.009261269083279178
2018-11-20,138.21,1.07M,-0.017073585475880674,-0.016928657799274438
2018-11-19,140.59,621.61K,-0.017486167886426533,-0.017334172083595334
2018-11-16,143.07,606.28K,0.004202569749102409,0.0042114129290375946
2018-11-15,142.47,803.93K,0.007326556196731718,0.007353461076150758
2018-11-14,141.43,798.34K,-0.010690023735912256,-0.010633088492479792
2018-11-13,142.95,752.11K,-0.0003497114915865191,-0.00034965034965039887
2018-11-12,143.0,912.65K,-0.019734066053823104,-0.019540623928693823
2018-11-09,145.85,587.00K,-0.009349370316829525,-0.009305800842276946
2018-11-08,147.22,604.58K,0.014435991127558272,0.014540693267176552
2018-11-07,145.11,1.16M,-0.024371526206130232,-0.024076938597081043
2018-11-06,148.69,1.05M,0.01805152165675184,0.018215435184551154
2018-11-05,146.03,965.49K,0.00034245402889396915,0.0003425126729690309
2018-11-02,145.98,661.69K,-0.0015059212921918628,-0.0015047879616962856
2018-11-01,146.2,676.09K,0.010589385894543425,0.010645651873358197
2018-10-31,144.66,987.51K,0.00186818943800717,0.0018699355911075966
2018-10-30,144.39,1.16M,0.032376675500090414,0.03290650261105932
2018-10-29,139.79,1.10M,-0.0024292666990891974,-0.002426318418611295
2018-10-26,140.13,1.12M,0.002858574089769886,0.0028626637085809037
2018-10-25,139.73,652.12K,0.01717957655107356,0.017327994175464045
2018-10-24,137.35,866.99K,-0.017108007397348437,-0.01696249642141434
2018-10-23,139.72,1.31M,7.157427623566621e-05,7.157683773528767e-05
2018-10-22,139.71,786.13K,0.004231975616368055,0.0042409430707304185
2018-10-19,139.12,1.03M,0.016378364521675817,0.01651322519362841
2018-10-18,136.86,772.13K,-0.009960458951914039,-0.009911017868769245
2018-10-17,138.23,844.45K,0.005076889349649333,0.005089798589398509
2018-10-16,137.53,1.55M,0.04384711868930001,0.04482260882777478
2018-10-15,131.63,2.00M,0.005408506804336548,0.0054231591811793045
2018-10-12,130.92,1.47M,-0.012976846873281775,-0.01289301063107895
2018-10-11,132.63,1.87M,-0.010276503444649872,-0.010223880597014956
2018-10-10,134.0,1.57M,-0.025711387238231093,-0.02538366426649219
2018-10-09,137.49,2.78M,-0.01415492688435547,-0.014055216923628433
2018-10-08,139.45,1.12M,0.0063305009628742024,0.006350580933824013
2018-10-05,138.57,1.20M,0.008552016174767004,0.008588689133124827
2018-10-04,137.39,1.95M,0.006792065548579107,0.006815183936684566
2018-10-03,136.46,1.06M,-0.021315966939145968,-0.021090387374462005
2018-10-02,139.4,1.14M,0.006766023076544093,0.006788964321825741
2018-10-01,138.46,1.29M,-0.0047553947961482415,-0.004744105807935606
2018-09-28,139.12,3.89M,0.00417777745156873,0.004186516529522288
2018-09-27,138.54,1.48M,0.011105176729441644,0.011167068097219124
2018-09-26,137.01,1.21M,-0.00021893815084719087,-0.0002189141856392407
2018-09-25,137.04,1.72M,-0.0117520394984799,-0.011683254002596288
2018-09-24,138.66,1.18M,-0.012897857216530108,-0.012815036309269612
2018-09-21,140.46,2.36M,0.00392339198567998,0.0039310985633622675
2018-09-20,139.91,2.00M,0.017302717010341178,0.01745327612537273
2018-09-19,137.51,1.18M,-0.005366998667590888,-0.005352622061482903
2018-09-18,138.25,1.05M,0.012812288534339935,0.012894717561725999
2018-09-17,136.49,1.68M,-7.326275691026604e-05,-7.326007326002859e-05
2018-09-14,136.5,1.63M,-0.00533373565652729,-0.005319536544487247
2018-09-13,137.23,6.84M,0.045316643968659066,0.04635913076629805
2018-09-12,131.15,1.84M,0.02971664923932879,0.03016259523996556
2018-09-11,127.31,1.04M,-0.010470481654199228,-0.010415856976292326
2018-09-10,128.65,599.88K,0.012436122889365986,0.012513773020620178
2018-09-07,127.06,634.92K,-0.021951531396257943,-0.021712349861410463
2018-09-06,129.88,1.49M,0.01677057938806381,0.016911994989038392
2018-09-05,127.72,936.66K,-0.014535252600741871,-0.01443012578131031
2018-09-04,129.59,762.10K,-0.005387114767516959,-0.005372630286284319
2018-08-31,130.29,460.75K,0.003151787980194993,0.0031567600862334455
2018-08-30,129.88,473.58K,-0.002998272474827559,-0.0029937821447763024
2018-08-29,130.27,393.71K,-0.0009974297830798505,-0.0009969325153373898
2018-08-28,130.4,352.49K,-0.006344859415642545,-0.006324773298788222
2018-08-27,131.23,478.12K,-0.003651027102760003,-0.003644370207273706
2018-08-24,131.71,266.02K,0.006703765488170277,0.006726286020025896
2018-08-23,130.83,503.50K,-0.005868248368431882,-0.005851063829787062
2018-08-22,131.6,343.79K,-0.011333706509849176,-0.01126972201352372
2018-08-21,133.1,540.28K,-0.004497758706831519,-0.004487658937920691
2018-08-20,133.7,490.03K,0.011585174335229473,0.01165254237288127
2018-08-17,132.16,1.59M,0.004094326744694711,0.004102719951375011
2018-08-16,131.62,431.69K,0.003501031051525578,0.0035071668191521965
2018-08-15,131.16,501.73K,-0.0010668293323030866,-0.0010662604722011526
2018-08-14,131.3,459.49K,0.00038087983701736583,0.0003809523809523707
2018-08-13,131.25,570.60K,-0.00879926787993235,-0.008760667623291307
2018-08-10,132.41,683.69K,-0.015289213363208211,-0.015172926738564518
2018-08-09,134.45,535.73K,0.0014141642042681678,0.0014151646059883394
2018-08-08,134.26,769.98K,0.00022347201106079286,0.0002234969827907829
2018-08-07,134.23,809.25K,0.0009689562119119291,0.000969425801640611
2018-08-06,134.1,772.68K,-0.0007454342499485086,-0.0007451564828613311
2018-08-03,134.2,672.45K,0.015242251767866071,0.01535900733903306
2018-08-02,132.17,668.49K,-0.00158760192106148,-0.0015863423477867622
2018-08-01,132.38,761.01K,-0.0028664121609971037,-0.0028623079240734928
