"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","134.27","133.08","134.27","132.49","619.70K","1.54%"
"Dec 28, 2018","132.23","132.83","133.93","130.71","562.14K","-0.14%"
"Dec 27, 2018","132.42","129.18","132.45","127.83","823.66K","1.63%"
"Dec 26, 2018","130.29","127.96","130.33","125.62","849.95K","4.27%"
"Dec 24, 2018","124.95","128.05","128.68","124.88","498.78K","-2.54%"
"Dec 21, 2018","128.21","128.24","131.94","127.34","1.98M","-0.09%"
"Dec 20, 2018","128.32","131.03","131.03","127.22","1.35M","-2.31%"
"Dec 19, 2018","131.36","133.05","134.79","130.61","1.01M","-0.82%"
"Dec 18, 2018","132.45","132.96","134.13","131.91","1.29M","0.30%"
"Dec 17, 2018","132.06","135.76","135.95","130.86","1.45M","-2.54%"
"Dec 14, 2018","135.50","134.89","135.86","134.25","845.64K","-0.02%"
"Dec 13, 2018","135.53","136.86","137.61","134.97","960.61K","-0.88%"
"Dec 12, 2018","136.73","139.79","140.19","136.65","618.97K","-0.75%"
"Dec 11, 2018","137.77","139.48","140.25","137.28","916.10K","0.05%"
"Dec 10, 2018","137.70","136.00","138.29","134.60","984.33K","0.51%"
"Dec 07, 2018","137.00","139.04","140.81","136.35","855.14K","-1.27%"
"Dec 06, 2018","138.76","138.08","139.94","135.77","1.39M","0.37%"
"Dec 04, 2018","138.25","141.95","143.69","137.98","1.35M","-2.50%"
"Dec 03, 2018","141.79","142.26","142.29","140.28","1.14M","0.11%"
"Nov 30, 2018","141.63","141.47","142.30","140.93","1.15M","0.04%"
"Nov 29, 2018","141.58","140.45","142.41","140.10","767.57K","0.71%"
"Nov 28, 2018","140.58","140.29","141.56","138.85","1.24M","0.39%"
"Nov 27, 2018","140.03","138.82","140.54","137.77","749.73K","0.13%"
"Nov 26, 2018","139.85","140.37","141.07","138.48","603.37K","0.08%"
"Nov 23, 2018","139.74","138.91","140.33","138.34","261.34K","0.18%"
"Nov 21, 2018","139.49","139.46","140.73","138.94","647.16K","0.93%"
"Nov 20, 2018","138.21","138.74","139.68","137.36","1.07M","-1.69%"
"Nov 19, 2018","140.59","142.58","143.43","139.72","621.61K","-1.73%"
"Nov 16, 2018","143.07","141.00","143.37","139.00","606.28K","0.42%"
"Nov 15, 2018","142.47","140.55","142.75","139.72","803.93K","0.74%"
"Nov 14, 2018","141.43","142.30","143.95","141.03","798.34K","-1.06%"
"Nov 13, 2018","142.95","143.18","144.24","142.00","752.11K","-0.03%"
"Nov 12, 2018","143.00","145.68","146.34","142.89","912.65K","-1.95%"
"Nov 09, 2018","145.85","146.65","147.04","144.62","587.00K","-0.93%"
"Nov 08, 2018","147.22","145.10","147.22","144.48","604.58K","1.45%"
"Nov 07, 2018","145.11","149.15","149.50","142.15","1.16M","-2.41%"
"Nov 06, 2018","148.69","143.99","150.57","142.13","1.05M","1.82%"
"Nov 05, 2018","146.03","145.88","146.31","143.97","965.49K","0.03%"
"Nov 02, 2018","145.98","146.90","147.19","145.07","661.69K","-0.15%"
"Nov 01, 2018","146.20","145.00","146.86","144.10","676.09K","1.06%"
"Oct 31, 2018","144.66","145.05","145.95","143.83","987.51K","0.19%"
"Oct 30, 2018","144.39","140.08","144.60","139.17","1.16M","3.29%"
"Oct 29, 2018","139.79","142.01","142.56","138.55","1.10M","-0.24%"
"Oct 26, 2018","140.13","138.50","141.06","136.50","1.12M","0.29%"
"Oct 25, 2018","139.73","138.85","140.52","137.84","652.12K","1.73%"
"Oct 24, 2018","137.35","139.50","140.49","137.10","866.99K","-1.70%"
"Oct 23, 2018","139.72","138.26","140.81","137.16","1.31M","0.01%"
"Oct 22, 2018","139.71","139.87","140.48","137.89","786.13K","0.42%"
